model_parameters,model_rank,auc_score_mean,auc_score_std,auc_score_cv
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 100, 'scale_pos_weight': 5, 'subsample': 1.0}",242,0.7951624908830457,0.014001907479315371,0.017608863144142953
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 0.6}",239,0.7951873327237055,0.01488958375287604,0.018724623922108618
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 0.8}",179,0.7958719815337177,0.014479788181943344,0.01819361469923778
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 10, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 1.0}",505,0.7925478618018453,0.015600702229734795,0.019684239882077077
"{'eta': 0.05, 'gamma': 0, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 1, 'subsample': 0.6}",139,0.7964398102008983,0.01444460754302636,0.018136471027713662
"{'eta': 0.05, 'gamma': 0, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 1, 'subsample': 0.8}",42,0.7982408166910258,0.016842879745456982,0.021099998137499826
"{'eta': 0.05, 'gamma': 0, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 1, 'subsample': 1.0}",358,0.7939478331803868,0.01451008794433037,0.018275870703250152
"{'eta': 0.05, 'gamma': 0, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 5, 'subsample': 0.6}",299,0.7946086451011934,0.013275342699223815,0.016706768521922134
"{'eta': 0.05, 'gamma': 0, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 5, 'subsample': 0.8}",304,0.7945427635937662,0.012586463763010678,0.015841140766396665
"{'eta': 0.05, 'gamma': 0, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 5, 'subsample': 1.0}",1008,0.7885159784265534,0.012474707183424246,0.01582048750402869
"{'eta': 0.05, 'gamma': 0, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 10, 'subsample': 0.6}",473,0.7928896275250515,0.011830340244021858,0.01492053853819405
"{'eta': 0.05, 'gamma': 0, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 10, 'subsample': 0.8}",848,0.7900191529518373,0.011107869805500633,0.014060253810299472
"{'eta': 0.05, 'gamma': 0, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 10, 'subsample': 1.0}",1229,0.7846227269521623,0.013165689356695981,0.016779643138604472
"{'eta': 0.05, 'gamma': 0, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.6}",44,0.7982114618761322,0.013405952888947243,0.016794989209297524
"{'eta': 0.05, 'gamma': 0, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.8}",8,0.8000310113301229,0.016703698602740055,0.020878813903686892
"{'eta': 0.05, 'gamma': 0, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 1.0}",80,0.7974496930283589,0.015272435580239309,0.019151597541208397
"{'eta': 0.05, 'gamma': 0, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 5, 'subsample': 0.6}",314,0.7944629282520403,0.013505005324322096,0.016998911898929644
"{'eta': 0.05, 'gamma': 0, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 5, 'subsample': 0.8}",164,0.7961012846866448,0.012620343915149287,0.015852686282395348
"{'eta': 0.05, 'gamma': 0, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 5, 'subsample': 1.0}",499,0.7926047465535534,0.01446386497208027,0.01824852176948577
"{'eta': 0.05, 'gamma': 0, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 0.6}",535,0.7923662495581624,0.013608856953744327,0.017174957869965903
"{'eta': 0.05, 'gamma': 0, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 0.8}",865,0.7898864232197852,0.012507668745319545,0.01583476861690443
"{'eta': 0.05, 'gamma': 0, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 1.0}",1024,0.7883154195500613,0.01579566443673021,0.020037238959179228
"{'eta': 0.05, 'gamma': 0, 'max_depth': 7, 'min_child_weight': 5, 'n_estimators': 50, 'scale_pos_weight': 1, 'subsample': 0.6}",56,0.7979427467751519,0.01754891013114888,0.021992693338052104
